Rainfall - (MM), Year, Statistics, Country, ISO3
27.7225,2008, Jan Average, Canada, CAN
22.9869,2008, Feb Average, Canada, CAN
25.0538,2008, Mar Average, Canada, CAN
25.7074,2008, Apr Average, Canada, CAN
32.9521,2008, May Average, Canada, CAN
56.8146,2008, Jun Average, Canada, CAN
63.1381,2008, Jul Average, Canada, CAN
62.221,2008, Aug Average, Canada, CAN
44.3283,2008, Sep Average, Canada, CAN
42.8659,2008, Oct Average, Canada, CAN
38.2224,2008, Nov Average, Canada, CAN
37.4272,2008, Dec Average, Canada, CAN
27.4503,2009, Jan Average, Canada, CAN
20.4024,2009, Feb Average, Canada, CAN
29.1782,2009, Mar Average, Canada, CAN
26.4209,2009, Apr Average, Canada, CAN
31.8789,2009, May Average, Canada, CAN
46.4853,2009, Jun Average, Canada, CAN
62.6775,2009, Jul Average, Canada, CAN
60.9096,2009, Aug Average, Canada, CAN
47.6408,2009, Sep Average, Canada, CAN
46.5234,2009, Oct Average, Canada, CAN
32.8374,2009, Nov Average, Canada, CAN
29.3972,2009, Dec Average, Canada, CAN
25.7178,2010, Jan Average, Canada, CAN
17.3839,2010, Feb Average, Canada, CAN
20.6001,2010, Mar Average, Canada, CAN
25.5649,2010, Apr Average, Canada, CAN
37.1896,2010, May Average, Canada, CAN
52.7087,2010, Jun Average, Canada, CAN
61.1422,2010, Jul Average, Canada, CAN
64.3766,2010, Aug Average, Canada, CAN
58.2898,2010, Sep Average, Canada, CAN
43.9029,2010, Oct Average, Canada, CAN
34.9712,2010, Nov Average, Canada, CAN
37.2897,2010, Dec Average, Canada, CAN
28.0723,2011, Jan Average, Canada, CAN
22.0558,2011, Feb Average, Canada, CAN
26.2686,2011, Mar Average, Canada, CAN
28.3387,2011, Apr Average, Canada, CAN
33.3828,2011, May Average, Canada, CAN
56.9165,2011, Jun Average, Canada, CAN
62.5688,2011, Jul Average, Canada, CAN
58.8919,2011, Aug Average, Canada, CAN
45.0758,2011, Sep Average, Canada, CAN
38.9234,2011, Oct Average, Canada, CAN
33.9434,2011, Nov Average, Canada, CAN
25.6385,2011, Dec Average, Canada, CAN
27.8012,2012, Jan Average, Canada, CAN
20.1216,2012, Feb Average, Canada, CAN
29.1646,2012, Mar Average, Canada, CAN
28.1081,2012, Apr Average, Canada, CAN
35.1759,2012, May Average, Canada, CAN
60.2595,2012, Jun Average, Canada, CAN
53.5009,2012, Jul Average, Canada, CAN
51.2439,2012, Aug Average, Canada, CAN
39.039,2012, Sep Average, Canada, CAN
43.4181,2012, Oct Average, Canada, CAN
34.2133,2012, Nov Average, Canada, CAN
31.8712,2012, Dec Average, Canada, CAN
24.7111,2013, Jan Average, Canada, CAN
18.8119,2013, Feb Average, Canada, CAN
22.4556,2013, Mar Average, Canada, CAN
24.992,2013, Apr Average, Canada, CAN
35.795,2013, May Average, Canada, CAN
52.6391,2013, Jun Average, Canada, CAN
57.5219,2013, Jul Average, Canada, CAN
61.7883,2013, Aug Average, Canada, CAN
48.5933,2013, Sep Average, Canada, CAN
34.9291,2013, Oct Average, Canada, CAN
37.2843,2013, Nov Average, Canada, CAN
26.3581,2013, Dec Average, Canada, CAN
32.0206,2014, Jan Average, Canada, CAN
19.879,2014, Feb Average, Canada, CAN
24.2212,2014, Mar Average, Canada, CAN
28.3553,2014, Apr Average, Canada, CAN
30.3619,2014, May Average, Canada, CAN
61.6812,2014, Jun Average, Canada, CAN
62.026,2014, Jul Average, Canada, CAN
49.3651,2014, Aug Average, Canada, CAN
44.8492,2014, Sep Average, Canada, CAN
46.8425,2014, Oct Average, Canada, CAN
39.2413,2014, Nov Average, Canada, CAN
28.9359,2014, Dec Average, Canada, CAN
30.0385,2015, Jan Average, Canada, CAN
23.0041,2015, Feb Average, Canada, CAN
20.8595,2015, Mar Average, Canada, CAN
24.7185,2015, Apr Average, Canada, CAN
26.6057,2015, May Average, Canada, CAN
44.3674,2015, Jun Average, Canada, CAN
56.4208,2015, Jul Average, Canada, CAN
55.0817,2015, Aug Average, Canada, CAN
49.107,2015, Sep Average, Canada, CAN
40.3259,2015, Oct Average, Canada, CAN
36.9309,2015, Nov Average, Canada, CAN
30.4701,2015, Dec Average, Canada, CAN
24.4741,2016, Jan Average, Canada, CAN
27.4503,2016, Feb Average, Canada, CAN
27.6842,2016, Mar Average, Canada, CAN
25.1448,2016, Apr Average, Canada, CAN
29.7758,2016, May Average, Canada, CAN
51.4911,2016, Jun Average, Canada, CAN
62.4187,2016, Jul Average, Canada, CAN
59.6117,2016, Aug Average, Canada, CAN
50.3805,2016, Sep Average, Canada, CAN
48.3012,2016, Oct Average, Canada, CAN
32.7788,2016, Nov Average, Canada, CAN
26.8646,2016, Dec Average, Canada, CAN
